Code,Timestamp,Open,Close,Low,High,Volume,Return
AAL,2024-07-19,10.63,10.58,10.43,10.65,25697300,0.00
AAL,2024-07-22,10.49,10.69,10.35,10.74,38897200,1.03
AAL,2024-07-23,10.63,10.48,10.47,10.74,30548000,-2.00
AAL,2024-07-24,10.45,10.17,10.12,10.54,47312000,-3.05
AAPL,2024-07-19,224.82,224.31,223.28,226.8,49151500,95.47
AAPL,2024-07-22,227.01,223.96,223.09,227.78,48201800,-0.16
AAPL,2024-07-23,224.37,225.01,222.68,226.94,39960300,0.47
AAPL,2024-07-24,224,218.54,217.13,224.8,61777600,-2.96
AAP,2024-07-19,61.2,59.62,59.35,61.35,1269400,-266.55
AAP,2024-07-22,59.68,59.75,58.77,60.04,1191400,0.22
AAP,2024-07-23,58.66,59.64,58.33,59.84,1239100,-0.18
AAP,2024-07-24,59.5,58.94,58.45,60.22,1294800,-1.19
ABBV,2024-07-19,173.67,172.32,171.22,173.85,4293600,65.80
ABBV,2024-07-22,173.32,173.61,172,174.73,4066900,0.74
ABBV,2024-07-23,173.32,173.15,172.77,174.59,2933800,-0.27
ABBV,2024-07-24,173.2,176.21,172.95,176.6,6117700,1.74
ABC,2024-07-19,87.63,88.86,86.79,88.9,1400300,-98.30
ABC,2024-07-22,90.62,90.19,89.69,91.36,1549400,1.47
ABC,2024-07-23,89.04,90.63,88.6,91.09,1254600,0.49
ABC,2024-07-24,90.65,90.21,89.65,91.49,1160300,-0.47
ABT,2024-07-19,100.61,102.03,100.08,102.4,11963600,11.58
ABT,2024-07-22,102.5,103.72,102.31,103.83,7880300,1.63
ABT,2024-07-23,104.01,103.92,103.37,104.33,5894500,0.19
ABT,2024-07-24,104.22,107.26,103.54,107.31,8680900,3.11
ACN,2024-07-19,331.09,329.19,327.71,335.79,5376200,67.42
ACN,2024-07-22,330.72,331.51,329.72,332.82,3419300,0.70
ACN,2024-07-23,331.43,330.33,327.97,332.2,1994000,-0.36
ACN,2024-07-24,329.38,328.68,328.14,332.54,3286500,-0.50
ADBE,2024-07-19,557.05,551,548.96,561.09,2601900,40.35
ADBE,2024-07-22,558.65,554.82,552.71,560.19,2391700,0.69
ADBE,2024-07-23,556.49,546.01,544.44,557.25,2363900,-1.61
ADBE,2024-07-24,543.8,531.04,530.35,544.71,2630100,-2.82
ADI,2024-07-19,240.3,231.22,230.74,240.3,2894900,-129.67
ADI,2024-07-22,237.12,240.04,233.32,240.26,2827300,3.67
ADI,2024-07-23,234.1,230.32,229.03,236.92,3876200,-4.22
ADI,2024-07-24,230.63,224.62,223.74,230.96,4589600,-2.54
ADM,2024-07-19,64.91,64.19,63.53,64.92,2730400,-249.93
ADM,2024-07-22,64.39,64.15,63.41,64.39,1404300,-0.06
ADM,2024-07-23,63.81,62.22,62.19,63.99,2255400,-3.10
ADM,2024-07-24,62.17,62.65,61.89,63.04,1847300,0.69
ADP,2024-07-19,248.23,246.97,244.65,248.87,1424500,74.63
ADP,2024-07-22,249.17,247.99,245.93,249.17,1421300,0.41
ADP,2024-07-23,246.92,248.35,246.01,248.85,765400,0.14
ADP,2024-07-24,249.66,247.1,245.8,249.66,1853200,-0.51
ADSK,2024-07-19,242.95,242.45,239.62,243.54,1120500,-1.92
ADSK,2024-07-22,245.48,245.26,242.9,245.79,712500,1.15
ADSK,2024-07-23,244.96,246.23,244.63,247.31,693900,0.39
ADSK,2024-07-24,244.59,239.45,239.01,245.23,1510700,-2.83
ADS,2024-07-19,267.16,262.91,261.91,267.16,762600,8.92
ADS,2024-07-22,262.87,248.55,248.03,263,3865900,-5.78
ADS,2024-07-23,249.4,256,248.43,256,3224100,2.91
ADS,2024-07-24,256.41,260.2,256.23,260.26,2826900,1.61
AEE,2024-07-19,75.88,74.82,74.33,75.88,1065100,-247.77
AEE,2024-07-22,74.98,75.74,74.87,75.8,1332300,1.21
