stock_date,open_price,close_price,low,high,volume,return
2013-02-08,1509.39,1517.93,1509.39,1518.31,2986150000,0.00
2013-02-11,1517.93,1517.01,1513.61,1518.31,2684100000,-0.06
2013-02-12,1517.01,1519.43,1515.61,1522.29,3414370000,0.16
2013-02-13,1519.43,1520.33,1515.93,1524.69,3385880000,0.06
2013-02-14,1520.33,1521.38,1514.02,1523.14,3759740000,0.07
2013-02-15,1521.38,1519.79,1514.14,1524.24,3838510000,-0.10
2013-02-19,1519.79,1530.94,1519.79,1530.94,3748910000,0.73
2013-02-20,1530.94,1511.95,1511.41,1530.94,4240570000,-1.24
2013-02-21,1511.95,1502.42,1497.29,1511.95,4274600000,-0.63
2013-02-22,1502.42,1515.6,1502.42,1515.64,3419320000,0.88
2013-02-25,1515.6,1487.85,1487.85,1525.84,4011050000,-1.83
2013-02-26,1487.85,1496.94,1485.01,1498.99,3975280000,0.61
2013-02-27,1496.94,1515.99,1494.88,1520.08,3551850000,1.27
2013-02-28,1515.99,1514.68,1514.46,1525.34,3912320000,-0.09
2013-03-01,1514.68,1518.2,1501.48,1519.99,3695610000,0.23
2013-03-04,1518.2,1525.2,1512.29,1525.27,3414430000,0.46
2013-03-05,1525.2,1539.79,1525.2,1543.47,3610690000,0.96
2013-03-06,1539.79,1541.46,1538.11,1545.25,3676890000,0.11
2013-03-07,1541.46,1544.26,1541.46,1545.78,3634710000,0.18
2013-03-08,1544.26,1551.18,1542.94,1552.48,3652260000,0.45
2013-03-11,1551.15,1556.22,1547.36,1556.27,3091080000,0.32
2013-03-12,1556.22,1552.48,1548.24,1556.77,3274910000,-0.24
2013-03-13,1552.48,1554.52,1548.25,1556.39,3073830000,0.13
2013-03-14,1554.52,1563.23,1554.52,1563.32,3459260000,0.56
2013-03-15,1563.21,1560.7,1555.74,1563.62,5175850000,-0.16
2013-03-18,1560.7,1552.1,1545.13,1560.7,3164560000,-0.55
2013-03-19,1552.1,1548.34,1538.57,1557.25,3796210000,-0.24
2013-03-20,1548.34,1558.71,1548.34,1561.56,3349090000,0.67
2013-03-21,1558.71,1545.8,1543.55,1558.71,3243270000,-0.83
2013-03-22,1545.9,1556.89,1545.9,1557.74,2948380000,0.72
2013-03-25,1556.89,1551.69,1546.22,1564.91,3178170000,-0.33
2013-03-26,1551.69,1563.77,1551.69,1563.95,2869260000,0.78
2013-03-27,1563.75,1562.85,1551.9,1564.07,2914210000,-0.06
2013-03-28,1562.86,1569.19,1561.08,1570.28,3304440000,0.41
2013-04-01,1569.18,1562.17,1558.47,1570.57,2753110000,-0.45
2013-04-02,1562.17,1570.25,1562.17,1573.66,3312160000,0.52
2013-04-03,1570.25,1553.69,1549.8,1571.47,4060610000,-1.05
2013-04-04,1553.69,1559.98,1552.52,1562.6,3350670000,0.40
2013-04-05,1559.98,1553.28,1539.5,1559.98,3515410000,-0.43
2013-04-08,1553.26,1563.07,1548.63,1563.07,2887120000,0.63
2013-04-09,1563.11,1568.61,1560.92,1573.89,3252780000,0.35
2013-04-10,1568.61,1587.73,1568.61,1589.07,3453350000,1.22
2013-04-11,1587.73,1593.37,1586.17,1597.35,3393950000,0.36
2013-04-12,1593.3,1588.85,1579.97,1593.3,3206290000,-0.28
2013-04-15,1588.84,1552.36,1552.28,1588.84,4660130000,-2.30
2013-04-16,1552.36,1574.57,1552.36,1575.35,3654700000,1.43
2013-04-17,1574.57,1552.01,1543.69,1574.57,4250310000,-1.43
2013-04-18,1552.03,1541.61,1536.03,1554.38,3890800000,-0.67
2013-04-19,1541.61,1555.25,1539.4,1555.89,3569870000,0.88
2013-04-22,1555.25,1562.5,1548.19,1565.55,2979880000,0.47
2013-04-23,1562.5,1578.78,1562.5,1579.58,3565150000,1.04
2013-04-24,1578.78,1578.79,1575.8,1583,3598240000,0.00
2013-04-25,1578.93,1585.16,1578.93,1592.64,3908580000,0.40
2013-04-26,1585.16,1582.24,1577.56,1585.78,3198620000,-0.18
2013-04-29,1582.34,1593.61,1582.34,1596.65,2891200000,0.72
2013-04-30,1593.58,1597.57,1586.5,1597.57,3745070000,0.25
2013-05-01,1597.55,1582.7,1581.28,1597.55,3530320000,-0.93
2013-05-02,1582.77,1597.59,1582.77,1598.6,3366950000,0.94
2013-05-03,1597.6,1614.42,1597.6,1618.46,3603910000,1.05
2013-05-06,1614.4,1617.5,1614.21,1619.77,3062240000,0.19
2013-05-07,1617.55,1625.96,1616.64,1626.03,3309580000,0.52
2013-05-08,1625.95,1632.69,1622.7,1632.78,3554700000,0.41
