Code,Timestamp,Open,Close,Low,High,Volume
AAL,2024-07-15,10.67,10.63,10.56,10.77,28634200
AAL,2024-07-16,10.65,11.19,10.65,11.24,48708700
AAL,2024-07-17,10.99,11.01,10.84,11.11,32356200
AAL,2024-07-18,10.96,10.62,10.61,11.09,46855200
AAPL,2024-07-15,236.48,234.4,233.09,237.23,62631300
AAPL,2024-07-16,235.0,234.82,232.33,236.27,43234300
AAPL,2024-07-17,229.45,228.88,226.64,231.46,57345900
AAPL,2024-07-18,230.28,224.18,222.27,230.44,66034600
AAP,2024-07-15,62.6,62.42,61.8,63.62,1110200
AAP,2024-07-16,62.86,63.66,62.3,64.11,1028500
AAP,2024-07-17,63.03,64.44,62.21,64.92,1410000
AAP,2024-07-18,63.93,61.26,61.21,64.84,1301800
ABBV,2024-07-15,168.91,168.03,167.42,170.37,2395100
ABBV,2024-07-16,168.6,169.2,167.26,169.85,3829500
ABBV,2024-07-17,169.51,175.27,169.51,175.74,6983200
ABBV,2024-07-18,174.45,171.14,170.72,176.68,5957800
ABC,2024-07-15,87.1,87.03,86.02,87.35,1755500
ABC,2024-07-16,87.17,87.74,87.17,89.11,1606800
ABC,2024-07-17,87.09,88.97,86.54,89.0,1279700
ABC,2024-07-18,88.7,87.4,86.96,89.81,1457200
ABT,2024-07-15,103.93,102.96,102.58,104.16,4970800
ABT,2024-07-16,102.92,102.72,102.51,103.87,7656900
ABT,2024-07-17,102.65,104.68,102.5,105.65,13438300
ABT,2024-07-18,102.39,100.07,99.71,104.15,13078800
ACN,2024-07-15,312.67,317.87,312.67,319.37,3866200
ACN,2024-07-16,318.38,325.0,318.03,325.15,3640500
ACN,2024-07-17,325.95,325.6,323.62,328.57,4383900
ACN,2024-07-18,329.41,328.1,327.84,336.25,4563600
ADBE,2024-07-15,560.23,565.71,560.23,568.23,1887800
ADBE,2024-07-16,564.6,566.54,562.08,570.1,1539900
ADBE,2024-07-17,563.93,563.09,556.46,565.0,2316300
ADBE,2024-07-18,564.18,556.85,556.07,564.26,2184700
ADI,2024-07-15,237.14,237.72,236.1,239.77,2057200
ADI,2024-07-16,239.01,243.33,237.65,243.83,1964600
ADI,2024-07-17,240.48,235.61,235.41,244.14,4448200
ADI,2024-07-18,236.48,238.99,236.29,241.1,3688500
ADM,2024-07-15,64.18,63.4,63.31,64.5,2869200
ADM,2024-07-16,63.0,64.56,62.63,64.68,2130000
ADM,2024-07-17,64.73,65.72,64.72,65.79,2490500
ADM,2024-07-18,65.28,64.79,64.66,66.08,1947500
ADP,2024-07-15,238.19,242.64,238.19,242.76,1268300
ADP,2024-07-16,243.09,245.82,242.76,246.57,1252800
ADP,2024-07-17,246.79,249.25,246.79,250.03,1896800
ADP,2024-07-18,248.21,247.4,247.11,251.78,1225800
ADSK,2024-07-15,253.33,253.17,252.11,255.47,870300
ADSK,2024-07-16,254.8,253.82,252.34,256.05,835900
ADSK,2024-07-17,248.5,250.18,248.08,253.0,1239600
ADSK,2024-07-18,249.68,242.81,240.64,249.68,1399100
ADS,2024-07-15,260.16,259.84,258.86,261.47,998500
ADS,2024-07-16,260.32,267.53,259.23,269.28,1210800
ADS,2024-07-17,267.78,270.47,267.72,271.92,725300
ADS,2024-07-18,267.72,266.59,266.49,272.77,696900
AEE,2024-07-15,73.35,72.75,72.33,73.83,1014600
AEE,2024-07-16,73.24,73.93,72.65,73.98,931300
AEE,2024-07-17,74.11,75.24,74.11,75.93,886200
AEE,2024-07-18,74.84,75.05,74.84,76.46,1062200
AEP,2024-07-15,89.9,90.94,89.84,90.96,2678900
AEP,2024-07-16,91.58,91.85,91.18,92.01,1853300
AEP,2024-07-17,92.08,93.52,92.02,94.18,3277600
AEP,2024-07-18,93.25,93.49,93.06,94.72,1976800
AES,2024-07-15,18.25,17.0,16.96,18.32,13899300
AES,2024-07-16,17.2,17.65,17.13,17.7,7590000
AES,2024-07-17,17.47,16.89,16.77,17.57,8844200
AES,2024-07-18,17.05,17.08,16.77,17.22,9984100
AET,2024-07-15,393.0,384.21,383.7,395.08,1567400
AET,2024-07-16,395.02,395.6,391.02,401.11,1773700
AET,2024-07-17,391.29,402.17,391.29,404.37,1832400
AET,2024-07-18,398.56,388.89,386.91,406.46,1873300
AFL,2024-07-15,92.86,93.37,92.6,93.86,1515000
AFL,2024-07-16,93.51,93.55,93.23,94.46,1944500
AFL,2024-07-17,93.8,94.06,92.83,94.85,2120700
AFL,2024-07-18,93.74,94.29,93.28,95.49,1523500
AGN,2024-07-15,97.59,96.76,96.72,97.8,3093600
AGN,2024-07-16,96.9,96.91,96.54,97.45,2859800
AGN,2024-07-17,97.46,98.89,97.24,99.12,4117500
AGN,2024-07-18,98.72,98.01,97.88,99.11,3286400
AIG,2024-07-15,77.06,77.62,77.06,77.87,4072700
AIG,2024-07-16,77.63,78.29,77.61,78.45,3874200
AIG,2024-07-17,78.32,78.58,78.32,79.57,5191500
AIG,2024-07-18,78.44,78.06,77.9,79.86,2988900
AIV,2024-07-15,8.56,8.81,8.55,8.82,1138100
AIV,2024-07-16,8.89,9.11,8.87,9.12,1030100
AIV,2024-07-17,9.06,9.04,8.96,9.14,1090100
AIV,2024-07-18,8.97,9.0,8.96,9.13,714900
AIZ,2024-07-15,168.73,171.11,167.75,171.92,315000
AIZ,2024-07-16,170.46,170.24,169.59,171.82,322500
AIZ,2024-07-17,170.46,171.9,170.21,174.13,395200
AIZ,2024-07-18,171.78,172.32,171.78,176.68,292600
AJG,2024-07-15,271.54,270.46,270.08,273.36,483200
AJG,2024-07-16,271.53,267.62,267.51,273.45,710900
AJG,2024-07-17,268.35,271.85,267.88,272.91,795600
AJG,2024-07-18,271.0,270.53,269.99,272.33,833200
AKAM,2024-07-15,95.38,96.26,95.28,96.84,975600
AKAM,2024-07-16,96.5,97.48,95.94,97.62,1181100
AKAM,2024-07-17,97.0,97.19,96.1,97.63,1065600
AKAM,2024-07-18,97.24,95.79,95.29,97.8,1636300
ALB,2024-07-15,93.6,95.49,93.12,96.95,2640000
ALB,2024-07-16,95.36,97.71,94.27,98.09,2586700
ALB,2024-07-17,97.31,95.08,92.65,99.26,2469000
ALB,2024-07-18,94.61,93.81,93.45,98.22,2324900
ALGN,2024-07-15,243.0,240.27,239.25,245.7,628300
ALGN,2024-07-16,242.91,247.54,239.32,247.76,693700
ALGN,2024-07-17,245.61,250.58,244.91,253.44,759200
ALGN,2024-07-18,251.89,250.66,249.27,263.24,998300
ALK,2024-07-15,38.51,38.45,38.05,38.85,2177900
ALK,2024-07-16,38.57,40.5,38.51,40.65,2127700
ALK,2024-07-17,39.9,40.03,39.73,40.54,2462100
ALK,2024-07-18,38.48,37.25,36.68,39.05,5556700
ALLE,2024-07-15,123.13,122.72,122.26,124.75,381100
ALLE,2024-07-16,123.67,128.02,122.8,128.29,622400
ALLE,2024-07-17,127.56,126.92,126.03,128.93,578800
ALLE,2024-07-18,126.3,127.41,126.14,130.13,838900
ALL,2024-07-15,164.25,166.91,164.05,167.22,1259900
ALL,2024-07-16,168.07,167.81,166.88,169.23,1307200
ALL,2024-07-17,168.64,170.7,168.64,171.04,1079000
ALL,2024-07-18,173.5,176.69,173.07,179.93,2535100
ALXN,2024-07-15,229.0,226.08,225.81,230.77,1260800
ALXN,2024-07-16,226.71,230.7,225.4,230.97,1147600
ALXN,2024-07-17,230.55,234.05,229.77,235.3,1228400
ALXN,2024-07-18,231.5,231.74,231.49,235.55,1063300
AMAT,2024-07-15,244.52,245.55,243.61,248.81,3674300
AMAT,2024-07-16,246.96,245.84,241.94,247.52,4124800
AMAT,2024-07-17,231.24,220.07,219.76,233.32,10538900
AMAT,2024-07-18,222.15,217.65,213.25,222.33,7715800
AMD,2024-07-15,184.45,179.83,178.54,185.5,42202700
AMD,2024-07-16,179.69,177.55,174.53,179.75,40633100
AMD,2024-07-17,169.8,159.43,159.37,169.8,76954200
AMD,2024-07-18,163.41,155.77,153.2,163.41,69420300
AME,2024-07-15,169.6,172.11,169.12,172.97,1259200
AME,2024-07-16,173.03,176.01,172.51,177.04,1505500
AME,2024-07-17,175.8,175.03,174.89,177.37,1060200
AME,2024-07-18,174.15,171.73,171.57,175.52,1031400
AMGN,2024-07-15,331.88,330.15,327.87,332.81,1688800
AMGN,2024-07-16,330.46,333.14,328.0,335.91,1879400
AMGN,2024-07-17,330.0,335.67,328.6,336.61,1933200
AMGN,2024-07-18,334.2,330.97,330.67,338.98,2228400
AMG,2024-07-15,167.23,168.35,166.89,169.89,176200
AMG,2024-07-16,168.68,171.86,168.59,172.27,242000
AMG,2024-07-17,171.48,172.52,170.28,172.75,211000
AMG,2024-07-18,171.99,169.48,169.36,174.74,311500
AMP,2024-07-15,447.2,445.8,445.57,449.94,404100
AMP,2024-07-16,438.19,429.05,428.22,440.04,1066800
AMP,2024-07-17,427.42,421.56,419.88,429.91,1078600
AMP,2024-07-18,421.64,417.99,417.48,424.36,717800
AMT,2024-07-15,210.0,208.84,206.93,211.21,1585400
AMT,2024-07-16,210.44,210.15,207.1,211.21,1329400
AMT,2024-07-17,210.3,213.12,209.61,213.18,1759700
AMT,2024-07-18,210.81,210.65,209.68,214.46,1736300
AMZN,2024-07-15,194.56,192.72,190.83,196.19,40683200
AMZN,2024-07-16,195.59,193.02,192.24,196.62,33994700
AMZN,2024-07-17,191.35,187.93,185.99,191.58,48076100
AMZN,2024-07-18,189.59,183.75,181.45,189.68,51043600
ANDV,2024-07-15,166.82,166.71,166.07,168.66,2198800
ANDV,2024-07-16,165.53,167.67,163.78,167.99,2271600
ANDV,2024-07-17,168.0,165.56,164.17,172.48,3218600
ANDV,2024-07-18,167.0,164.52,164.03,168.25,3014600
ANSS,2024-07-15,329.36,327.46,327.05,331.97,364900
ANSS,2024-07-16,328.76,330.37,326.93,331.49,335200
ANSS,2024-07-17,328.47,320.23,319.74,328.47,548300
ANSS,2024-07-18,321.01,315.67,313.13,321.87,442100
ANTM,2024-07-15,314.57,315.63,313.23,317.0,1076700
ANTM,2024-07-16,317.24,311.73,310.1,317.54,1333000
ANTM,2024-07-17,305.41,288.12,287.83,305.5,3558700
ANTM,2024-07-18,289.36,277.83,273.17,289.46,4131900
AON,2024-07-15,298.78,297.31,296.86,299.82,958100
AON,2024-07-16,297.92,297.75,296.91,299.19,1093100
AON,2024-07-17,298.25,300.45,298.04,302.0,1199100
AON,2024-07-18,298.72,299.68,297.87,302.83,756400
AOS,2024-07-15,88.22,87.8,87.7,89.19,1154700
AOS,2024-07-16,88.77,91.98,88.5,92.14,1338300
AOS,2024-07-17,91.47,90.14,90.14,92.13,850900
AOS,2024-07-18,89.8,89.02,88.84,92.45,1025900
APA,2024-07-15,29.97,31.46,29.95,31.69,6388800
APA,2024-07-16,31.15,31.67,30.88,31.69,4852600
APA,2024-07-17,31.9,32.22,31.84,32.51,4858200
APA,2024-07-18,32.35,32.15,31.97,33.15,6462600
APC,2024-07-15,271.54,270.46,270.08,273.36,483200
APC,2024-07-16,271.53,267.62,267.51,273.45,710900
APC,2024-07-17,268.35,271.85,267.88,272.91,795600
APC,2024-07-18,271.0,270.53,269.99,272.33,833200
APD,2024-07-15,260.16,259.84,258.86,261.47,998500
APD,2024-07-16,260.32,267.53,259.23,269.28,1210800
APD,2024-07-17,267.78,270.47,267.72,271.92,725300
APD,2024-07-18,267.72,266.59,266.49,272.77,696900
APH,2024-07-15,70.12,69.71,69.39,70.65,5887500
APH,2024-07-16,70.29,70.41,69.6,70.71,6164900
APH,2024-07-17,69.3,64.22,64.14,69.51,14803700
APH,2024-07-18,64.82,65.83,64.81,66.5,10698500
APTV,2024-07-15,72.04,72.26,71.85,72.71,2361700
APTV,2024-07-16,72.66,73.41,71.75,73.43,1959600
APTV,2024-07-17,72.44,72.41,70.75,72.69,3321900
APTV,2024-07-18,72.74,71.68,71.6,75.11,3218400
ARE,2024-07-15,126.05,127.06,125.22,127.41,674700
ARE,2024-07-16,128.48,127.59,127.19,128.81,687700
ARE,2024-07-17,127.24,129.08,127.1,129.2,726500
ARE,2024-07-18,128.39,126.32,126.18,130.14,702800
ARNC,2024-07-15,183.5,179.11,178.88,183.72,5189000
ARNC,2024-07-16,180.05,186.05,179.2,187.44,8546400
ARNC,2024-07-17,185.32,184.84,183.79,188.45,4899600
ARNC,2024-07-18,184.24,180.23,179.88,187.37,5354800
ATVI,2024-07-15,271.15,270.84,267.29,274.98,1219000
ATVI,2024-07-16,271.32,283.17,270.84,283.23,1196000
ATVI,2024-07-17,280.58,278.82,278.58,283.21,966200
ATVI,2024-07-18,278.5,269.93,269.02,278.5,1329100
AVB,2024-07-15,203.08,203.21,201.46,205.33,546200
AVB,2024-07-16,203.72,205.51,202.68,206.01,461100
AVB,2024-07-17,205.5,208.01,204.95,209.0,453500
AVB,2024-07-18,206.94,208.65,206.44,211.2,434100
AVGO,2024-07-15,170.0,171.42,169.26,173.51,22999200
AVGO,2024-07-16,172.4,169.38,166.4,172.81,22244900
AVGO,2024-07-17,162.31,155.98,155.61,162.84,43343400
AVGO,2024-07-18,158.89,160.52,153.9,161.51,37973500
AVY,2024-07-15,221.14,218.85,218.7,222.42,331600
AVY,2024-07-16,219.87,223.47,218.17,223.68,531000
AVY,2024-07-17,222.95,222.85,221.49,224.94,477900
AVY,2024-07-18,222.0,223.93,221.32,226.09,463500
AWK,2024-07-15,138.25,136.33,136.23,138.56,794700
AWK,2024-07-16,137.25,139.08,136.82,139.22,670100
AWK,2024-07-17,139.57,142.53,139.08,143.46,1190600
AWK,2024-07-18,141.74,141.35,140.52,144.26,835200
AXP,2024-07-15,240.45,244.0,240.45,244.66,3054400
AXP,2024-07-16,244.14,249.63,243.8,249.76,3074600
AXP,2024-07-17,248.81,249.96,247.38,250.84,2471900
AXP,2024-07-18,250.8,249.2,247.76,253.73,4053300
AYI,2024-07-15,245.54,249.82,243.25,252.51,248700
AYI,2024-07-16,251.44,270.18,251.44,271.36,539000
AYI,2024-07-17,265.84,258.84,258.71,265.96,319100
AYI,2024-07-18,259.61,257.32,257.08,264.0,297700
AZO,2024-07-15,2912.5,2941.46,2912.5,2960.24,115600
AZO,2024-07-16,2954.69,2985.33,2954.69,3007.65,118100
AZO,2024-07-17,2996.0,2984.11,2957.51,2996.47,109700
AZO,2024-07-18,2983.59,2926.35,2921.27,2990.0,94100
A,2024-07-15,132.01,131.01,130.78,133.14,1015700
A,2024-07-16,131.99,136.06,131.6,136.19,1064300
A,2024-07-17,135.16,133.5,133.42,136.0,1031200
A,2024-07-18,132.32,131.97,131.66,135.21,2783500
BAC,2024-07-15,41.85,41.89,41.7,42.23,36648100
BAC,2024-07-16,42.52,44.13,42.22,44.4,75953300
BAC,2024-07-17,43.65,43.98,43.65,44.44,65713600
BAC,2024-07-18,43.62,43.01,42.93,44.24,48549200
BAX,2024-07-15,34.2,33.97,33.94,34.9,3645000
BAX,2024-07-16,34.1,35.54,33.88,35.57,11147600
BAX,2024-07-17,35.62,35.68,35.46,36.37,6069100
BAX,2024-07-18,35.52,35.68,35.48,36.37,5912100
BA,2024-07-15,183.5,179.11,178.88,183.72,5189000
BA,2024-07-16,180.05,186.05,179.2,187.44,8546400
BA,2024-07-17,185.32,184.84,183.79,188.45,4899600
BA,2024-07-18,184.24,180.23,179.88,187.37,5354800
BBT,2024-07-15,312.71,324.59,310.48,325.52,1842800
BBT,2024-07-16,324.59,327.42,319.27,328.41,1516700
BBT,2024-07-17,324.67,330.3,323.81,333.75,1469300
BBT,2024-07-18,329.0,321.63,321.56,335.6,1303900
BBY,2024-07-15,85.79,85.5,85.2,86.43,2442100
BBY,2024-07-16,86.11,87.25,85.59,87.84,2590100
BBY,2024-07-17,86.32,89.16,86.13,89.73,3977400
BBY,2024-07-18,88.74,88.1,87.87,90.57,3610400
BDX,2024-07-15,229.0,226.08,225.81,230.77,1260800
